City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
213,Sitka,US,37.4,few clouds,57.0531,-135.33,Westmark Sitka
214,Applewood,US,36.0,scattered clouds,39.7578,-105.1625,La Quinta Inn by Wyndham Denver Golden
216,Vestmannaeyjar,IS,39.87,overcast clouds,63.4427,-20.2734,Glamping & Camping
218,Boras,SE,10.99,clear sky,57.721000000000004,12.9401,Scandic Plaza Borås
219,Douglas,US,23.0,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
222,San Patricio,US,69.8,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
223,Bow Island,CA,23.0,overcast clouds,49.8668,-111.3684,Pleasant View Lodge
225,Kethely,HU,39.2,clear sky,46.646,17.3936,Kristinus Vinotel - New Wine Hotel at Lake Balaton
226,Muros,ES,48.0,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
227,Frederico Westphalen,BR,66.0,clear sky,-27.3592,-53.3944,Hotel Palace Frederico
228,Chalmette,US,66.2,overcast clouds,29.9427,-89.9634,Marina Motel Chalmette
229,Zharkent,KZ,27.68,overcast clouds,44.1628,80.0,гостиница Satti
230,Bredasdorp,ZA,62.6,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
231,Xuddur,SO,65.5,clear sky,4.1213,43.8894,Banjanay Hotel
232,Jerome,US,33.8,overcast clouds,42.7241,-114.5186,Best Western Sawtooth Inn & Suites
233,Zorleni,RO,37.4,clear sky,46.2667,27.7167,PENSIUNEA MIRA - Simba TOURS.SRL
235,Lerwick,GB,35.6,broken clouds,60.1545,-1.1494,The Lerwick Hotel
236,Phalodi,IN,53.64,clear sky,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
237,Leeuwarden,NL,37.0,fog,53.2014,5.8086,Bastion Hotel Leeuwarden
240,Tahoua,NE,68.0,clear sky,14.8888,5.2692,Bungalows Guesthouse
242,Mahabad,IR,40.03,overcast clouds,36.7631,45.7222,Afshar Hotel
244,Wynyard,AU,66.99,moderate rain,-41.0,145.7167,Burnie Airport Motel
245,Tocopilla,CL,67.96,scattered clouds,-22.092,-70.1979,Hotel Galvarino
248,Akdepe,TM,39.2,overcast clouds,42.0551,59.3788,Мой дом
249,Ken Caryl,US,36.0,clear sky,39.5773,-105.1169,Hampton Inn & Suites Denver Littleton
253,Zhezkazgan,KZ,20.48,overcast clouds,47.8043,67.7144,Ul. Ranova 15-1 Kvartiry Posutochno.
254,Vila Franca Do Campo,PT,55.0,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
255,Harrisburg,US,33.01,clear sky,40.2737,-76.8844,Hilton Harrisburg
257,Victoria,HK,68.0,broken clouds,22.2855,114.1577,Mini Hotel Central
258,El Monte,US,64.0,clear sky,34.0686,-118.0276,Ramada by Wyndham South El Monte
259,Iqaluit,CA,14.0,snow,63.7506,-68.5145,Frobisher Inn
260,New Cumnock,GB,42.8,broken clouds,55.3956,-4.1846,"Lochside House Hotel, Lodges and Spa"
262,Grindavik,IS,37.4,light rain,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
264,Seoul,KR,33.8,clear sky,37.5683,126.9778,Lotte Hotel Seoul
265,Klyuchi,RU,22.35,overcast clouds,52.2667,79.1667,Vesolaya Mayovka
266,Sumbawanga,TZ,60.8,few clouds,-7.9667,31.6167,Matamba II Guest House
267,Airai,TL,67.39,light rain,-8.9266,125.4092,Juvinal Martin
270,Lagoa,PT,54.57,overcast clouds,39.05,-27.9833,Casa Das Faias
271,Jishou,CN,46.83,overcast clouds,28.3167,109.7167,7Days Inn Jishou Railway Station
272,Gushikawa,JP,66.2,scattered clouds,26.3544,127.8686,Kirari Guest House
273,Torbay,CA,41.0,light rain,47.6666,-52.7314,Gallows Cove
274,Dali,CN,43.48,scattered clouds,25.7,100.1833,Dali Travelling With Hostel
275,Buraydah,SA,64.4,scattered clouds,26.326,43.975,Mövenpick Hotel Qassim
276,Zarubino,RU,15.17,overcast clouds,42.63,131.0922,"Okean, Baza Otdykha"
282,Andenes,NO,35.6,overcast clouds,69.3143,16.1194,Hotell Marena
283,Smolenka,RU,12.2,scattered clouds,52.1352,113.4974,Russkaya Usadba v Zarechye
284,Komsomolskiy,UZ,32.0,clear sky,40.4272,71.7189,Ikathouse
285,San Quintin,MX,59.16,broken clouds,30.4833,-115.95,Old Mill Hotel
